page,place_overall,place_gender,nombre,tiempo_neto,division,gender
1,4264,442,"Krishna, Aditi",03:08:12,18-39,W
1,4270,443,"Sack, Myra",03:17:36,18-39,W
1,4274,444,"Simon, Dyan",03:08:15,50-54,W
1,4275,445,"Turpin, Ashley",03:09:25,18-39,W
1,4282,446,"Papke, Taushah",03:08:58,40-44,W
1,4296,447,"Songailaite Kovarskiene, Neringa",03:10:10,18-39,W
1,4300,448,"Rezende, Paula",03:09:50,40-44,W
1,4305,449,"Hake, Abby",03:14:41,18-39,W
1,4306,450,"Moore, Meghan",03:10:06,18-39,W
1,4309,451,"Savey, Caitlyn",03:12:08,18-39,W
1,4313,452,"Lynch, Francesca",03:11:53,18-39,W
1,4316,453,"Mcmahon, Elsa",03:08:32,18-39,W
1,4317,454,"Izzo, Elizabeth",03:10:10,18-39,W
1,4318,455,"Dopko, Erin",03:10:04,18-39,W
